user_id;food_id;like
102;01-1164;1
1045;01-1164;1
1049;01-1164;1
1051;01-1164;1
1056;01-1164;1
1081;01-1164;1
112;01-1164;1
1149;01-1164;1
117;01-1164;1
1182;01-1164;1
1197;01-1164;1
1209;01-1164;1
1211;01-1164;1
129;01-1164;1
136;01-1164;1
162;01-1164;1
168;01-1164;1
201;01-1164;1
217;01-1164;1
228;01-1164;1
244;01-1164;1
268;01-1164;1
295;01-1164;1
312;01-1164;1
317;01-1164;1
393;01-1164;1
48;01-1164;1
510;01-1164;1
516;01-1164;1
535;01-1164;1
545;01-1164;1
552;01-1164;1
567;01-1164;1
576;01-1164;1
577;01-1164;1
604;01-1164;1
61;01-1164;1
631;01-1164;1
642;01-1164;1
711;01-1164;1
755;01-1164;1
819;01-1164;1
821;01-1164;1
847;01-1164;1
888;01-1164;1
914;01-1164;1
993;01-1164;1
1020;01-1307;1
1051;01-1307;1
1056;01-1307;1
1059;01-1307;1
1065;01-1307;1
1070;01-1307;1
1091;01-1307;1
1100;01-1307;1
112;01-1307;1
1126;01-1307;1
1130;01-1307;1
1149;01-1307;1
1161;01-1307;1
1239;01-1307;1
133;01-1307;1
168;01-1307;1
201;01-1307;1
260;01-1307;1
276;01-1307;1
280;01-1307;1
295;01-1307;1
299;01-1307;1
301;01-1307;1
326;01-1307;1
356;01-1307;1
380;01-1307;1
489;01-1307;1
510;01-1307;1
516;01-1307;1
517;01-1307;1
58;01-1307;1
602;01-1307;1
603;01-1307;1
61;01-1307;1
616;01-1307;1
638;01-1307;1
642;01-1307;1
661;01-1307;1
662;01-1307;1
760;01-1307;1
796;01-1307;1
796;01-1307;1
819;01-1307;1
821;01-1307;1
824;01-1307;1
827;01-1307;1
864;01-1307;1
888;01-1307;1
903;01-1307;1
923;01-1307;1
972;01-1307;1
976;01-1307;1
1059;01-1471;1
109;01-1471;1
1111;01-1471;1
112;01-1471;1
116;01-1471;1
1182;01-1471;1
127;01-1471;1
144;01-1471;1
161;01-1471;1
168;01-1471;1
176;01-1471;1
217;01-1471;1
236;01-1471;1
244;01-1471;1
260;01-1471;1
264;01-1471;1
301;01-1471;1
311;01-1471;1
317;01-1471;1
320;01-1471;1
380;01-1471;1
39;01-1471;1
393;01-1471;1
417;01-1471;1
453;01-1471;1
489;01-1471;1
516;01-1471;1
517;01-1471;1
545;01-1471;1
565;01-1471;1
577;01-1471;1
586;01-1471;1
604;01-1471;1
641;01-1471;1
661;01-1471;1
680;01-1471;1
823;01-1471;1
838;01-1471;1
85;01-1471;1
85;01-1471;1
888;01-1471;1
888;01-1471;1
901;01-1471;1
903;01-1471;1
972;01-1471;1
997;01-1471;1
1005;01-1472;1
102;01-1472;1
1023;01-1472;1
1059;01-1472;1
1070;01-1472;1
1091;01-1472;1
1107;01-1472;1
1149;01-1472;1
117;01-1472;1
1195;01-1472;1
1197;01-1472;1
1206;01-1472;1
1249;01-1472;1
144;01-1472;1
162;01-1472;1
244;01-1472;1
280;01-1472;1
417;01-1472;1
489;01-1472;1
517;01-1472;1
565;01-1472;1
567;01-1472;1
577;01-1472;1
587;01-1472;1
602;01-1472;1
603;01-1472;1
61;01-1472;1
653;01-1472;1
661;01-1472;1
662;01-1472;1
680;01-1472;1
750;01-1472;1
755;01-1472;1
774;01-1472;1
775;01-1472;1
821;01-1472;1
85;01-1472;1
857;01-1472;1
86;01-1472;1
883;01-1472;1
888;01-1472;1
924;01-1472;1
1000;01-371;1
1059;01-371;1
1065;01-371;1
1081;01-371;1
109;01-371;1
1108;01-371;1
1193;01-371;1
1206;01-371;1
1243;01-371;1
126;01-371;1
161;01-371;1
162;01-371;1
228;01-371;1
244;01-371;1
